utc_date,total_verifications,invariant_pass_rate,zero_drift_ratio,avg_replay_latency_ms,max_replay_latency_ms,sla_target_ms,sla_status,hsm_quorum_status,worm_seals_verified,merkle_root_anchor,pqc_algorithm,iso_27037_status
2026-08-26,86400,100.00%,1.000000,14.61,26.50,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-27,86400,100.00%,1.000000,14.73,27.80,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-28,86400,100.00%,1.000000,14.90,29.30,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-29,86400,100.00%,1.000000,14.66,27.10,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-30,86400,100.00%,1.000000,14.81,28.50,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-08-31,86400,100.00%,1.000000,14.74,27.70,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-01,86400,100.00%,1.000000,14.87,28.80,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-02,86400,100.00%,1.000000,14.68,27.20,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-03,86400,100.00%,1.000000,14.79,28.30,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-04,86400,100.00%,1.000000,14.62,26.90,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-05,86400,100.00%,1.000000,14.83,28.60,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-06,86400,100.00%,1.000000,14.71,27.40,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-07,86400,100.00%,1.000000,14.89,29.00,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-08,86400,100.00%,1.000000,14.65,27.00,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-09,86400,100.00%,1.000000,14.76,28.00,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-10,86400,100.00%,1.000000,14.84,28.70,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-11,86400,100.00%,1.000000,14.67,27.30,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-12,86400,100.00%,1.000000,14.78,28.20,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-13,86400,100.00%,1.000000,14.86,28.90,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
2026-09-14,86400,100.00%,1.000000,14.72,27.60,142.00,PASS_SLA,10_OF_10_ONLINE,14902,0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68,ML-DSA-87_CRYSTALS-Dilithium-5,FORENSICALLY_SOUND
