"UTC_Date","Daily_Verifications","Invariant_Pass_Rate","Baseline_Drift_Percent","Avg_Replay_Latency_MS","Target_SLA_MS","SLA_Status","HSM_Quorum_Status","WORM_Vault_Seals","Quarantined_Seals","Merkle_Root_Genesis","Genesis_Block_Height","Primary_PQC_Algorithm","Secondary_PQC_Algorithm","Statutory_Compliance_ETDA","Statutory_Compliance_PDPA","Attestation_Status"
"2026-09-08","144,750","100.00%","0.00%","35.80","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-07","145,210","100.00%","0.00%","35.82","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-06","143,670","100.00%","0.00%","35.77","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-05","144,400","100.00%","0.00%","35.81","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-04","146,050","100.00%","0.00%","35.80","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-03","145,430","100.00%","0.00%","35.79","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-02","144,120","100.00%","0.00%","35.83","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-09-01","143,800","100.00%","0.00%","35.80","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-31","145,990","100.00%","0.00%","35.78","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-30","144,320","100.00%","0.00%","35.81","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-29","143,500","100.00%","0.00%","35.82","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-28","145,150","100.00%","0.00%","35.79","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-27","144,680","100.00%","0.00%","35.80","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
"2026-08-26","146,500","100.00%","0.00%","35.81","142.00","PASS","10/10 REAL_HSM","14902","80","0x909ab814479844d8a14816bed34cdbb07528e18501da86fc4691763a43fa4c68","849202","CRYSTALS-Dilithium-5 (FIPS 204)","SPHINCS+ (FIPS 205)","Sec 9, 26, 28 Validated","Sec 37 Certified","RATIFIED_GOLD_MASTER"
